telemetry_name,telemetry_value,vehicle_id_x,meta_time,chassis,lap,vehicle_id_y,meta_time_start,meta_time_end
gear,2.0,GR86-002-000,2025-09-07 15:05:47.237000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
nmot,6396.0,GR86-002-000,2025-09-07 15:05:47.237000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
gear,2.0,GR86-002-000,2025-09-07 15:05:47.238000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
speed,112.27,GR86-002-000,2025-09-07 15:05:47.238000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
gear,2.0,GR86-002-000,2025-09-07 15:05:47.238000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
gear,2.0,GR86-002-000,2025-09-07 15:05:47.318000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
gear,2.0,GR86-002-000,2025-09-07 15:05:47.318000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
gear,2.0,GR86-002-000,2025-09-07 15:05:47.318000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
speed,113.94,GR86-002-000,2025-09-07 15:05:47.489000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
nmot,6498.0,GR86-002-000,2025-09-07 15:05:47.489000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
gear,2.0,GR86-002-000,2025-09-07 15:05:47.489000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
gear,2.0,GR86-002-000,2025-09-07 15:05:47.489000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
gear,2.0,GR86-002-000,2025-09-07 15:05:47.490000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
gear,2.0,GR86-002-000,2025-09-07 15:05:47.491000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
gear,2.0,GR86-002-000,2025-09-07 15:05:48.990000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
nmot,6590.0,GR86-002-000,2025-09-07 15:05:49.073000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
gear,2.0,GR86-002-000,2025-09-07 15:05:49.073000+00:00,002-000,2.0,GR86-002-000,2025-09-07 15:05:49.142000+00:00,2025-09-07 15:07:28.620000+00:00
